date,섹터,오늘,d5,d20,순매수,n,주도주
2026-09-01,보험,0.0341977564242403,0.0406844432117093,0.2572867403922054,16218.0,10,삼성생명
2026-09-01,의료·정밀기기,0.025863286206658,0.0128196340919232,0.0602110374499528,744.0,3,케이씨텍
2026-09-01,유통,0.0170251662118077,0.034331118258858,0.0565886851843656,18093.0,19,삼성물산
2026-09-01,통신,0.0102752673107192,-0.0012729737278836,0.0712492547362502,-4378.0,3,SK텔레콤
2026-09-01,섬유·의류,0.0093881093591783,0.0384593185120801,0.0798617240364812,520.0,2,F&F
2026-09-01,금융,0.0078420504983774,0.0297908750764913,0.0845419824969823,108406.0,41,SK스퀘어
2026-09-01,타이어,0.0049648261630179,0.0147455400201522,0.0567412017888114,4216.0,3,한국타이어앤테크놀로지
2026-09-01,조선,0.0039563914040732,0.0038361053409396,0.0128023805613419,-16314.0,5,HD현대중공업
2026-09-01,일반서비스,0.0030716791023806,0.0160595325491038,0.1080852285905565,-25555.0,11,HD현대마린솔루션
2026-09-01,증권,0.0028964500142607,-0.0019752127542069,0.071603498212517,3848.0,11,미래에셋증권
2026-09-01,오락·문화,0.0024360272543509,0.042203705693909,0.053032938498797,10.0,5,하이브
2026-09-01,운송·창고,0.0020784400889345,-0.0087395197713519,0.0769283187990081,12553.0,7,HMM
2026-09-01,인프라투용,0.0006323451708094,0.0086872586872587,-0.0056658237623669,394.0,2,맥쿼리인프라
2026-09-01,기계·장비,-0.0011830852904801,0.0270169111020346,0.1147918284044428,-35958.0,10,한미반도체
2026-09-01,화학,-0.0014319710051363,0.0534669340786951,0.1691079119689534,66775.0,31,SK이노베이션
2026-09-01,IT 서비스,-0.0019745261723633,0.0181266515648901,0.1218511687475958,-25241.0,13,NAVER
2026-09-01,음식료·담배,-0.0028414008627412,0.0191891944071596,0.1194213906395259,5658.0,11,KT&G
2026-09-01,비금속,-0.0035217438318213,0.0458601888226877,0.1438731093736015,429.0,2,한일시멘트
2026-09-01,제약,-0.0058602043642368,0.014267734657713,0.1586648742237915,-16281.0,13,삼성바이오로직스
2026-09-01,운송장비·부품,-0.0074867992957874,-0.031744558370532,-0.0040348221658148,-84465.0,11,현대차
2026-09-01,리츠,-0.008964316703491,0.0021114424850603,0.0179357211727948,65.0,5,SK리츠
2026-09-01,전기·전자,-0.0110766873566129,0.0550562957608243,0.2284428691864598,-894006.0,41,삼성전자
2026-09-01,금속,-0.0116261700411153,-0.0004184492038116,0.2266099402385961,-23103.0,11,POSCO홀딩스
2026-09-01,전기·가스,-0.0141959175428094,-0.0394480181394316,0.0998930481372379,7650.0,4,한국전력
2026-09-01,원전,-0.0246153153558726,0.0022366793666265,0.1458272020383177,-32815.0,3,두산에너빌리티
2026-09-01,화장품,-0.026944137257367,-0.0097213720182084,0.2031083639398351,-9437.0,9,에이피알
2026-09-01,방산,-0.0288251874928147,-0.0407041180922962,0.0790766748112609,-130091.0,6,한화에어로스페이스
2026-09-01,건설,-0.0344657350326517,-0.0089484943563013,0.2787888647710521,-89357.0,8,현대건설
2026-09-02,의료·정밀기기,0.03624437674045614,0.06063014894990759,0.06491905956468451,744.0,3,케이씨텍
2026-09-02,음식료·담배,-0.004437263977351901,-0.005530411999220119,0.10275560882035836,5658.0,11,KT&G
2026-09-02,전기·가스,-0.004919158462940415,-0.06600196571735018,0.052694220396884456,7650.0,4,한국전력
2026-09-02,리츠,-0.005020573649534121,-0.01906490165705621,0.01894216812119911,65.0,5,SK리츠
2026-09-02,섬유·의류,-0.0065475589438077075,0.014840992882632409,0.06335925327433556,520.0,2,F&F
2026-09-02,인프라투용,-0.007391996829824055,0.009335355763927189,-0.009907276835130152,394.0,2,맥쿼리인프라
2026-09-02,일반서비스,-0.015020022033534464,-0.017192427732576687,0.06574840738987077,-25540.0,11,HD현대마린솔루션
2026-09-02,금융,-0.015717230476697257,0.0016342289805649968,0.03722443588950153,108386.0,41,SK스퀘어
2026-09-02,제약,-0.016820878972242152,-0.028406167971799436,0.08513302586165655,-16276.0,13,삼성바이오로직스
2026-09-02,비금속,-0.01751413861475376,0.01996440050277959,0.1159952296717961,429.0,2,한일시멘트
2026-09-02,통신,-0.019737446517794705,-0.024539865056424654,0.008667172959683963,-4378.0,3,SK텔레콤
2026-09-02,오락·문화,-0.019887138920078762,0.0011557458158952816,0.002326349250701476,10.0,5,하이브
2026-09-02,운송·창고,-0.021871659076856096,-0.01451507579356329,0.019259325032386587,12569.0,7,HMM
2026-09-02,건설,-0.022341513318566902,-0.06466300092673462,0.13600674091687437,-89304.0,8,현대건설
2026-09-02,화장품,-0.023331554683885494,-0.02938935391088789,0.1314204830340993,-9437.0,9,에이피알
2026-09-02,보험,-0.027848984462080072,-0.015538945515609604,0.21319471392335193,16222.0,10,삼성생명
2026-09-02,유통,-0.028459407832410147,-0.012599231447766616,-0.002809432215663993,18094.0,19,삼성물산
2026-09-02,IT 서비스,-0.02992884845877199,-0.014062136562228203,0.027952239447811632,-25213.0,13,NAVER
2026-09-02,금속,-0.030310210299478082,-0.026840591777279287,0.1322646358869096,-23100.0,11,POSCO홀딩스
2026-09-02,증권,-0.03173862685288578,-0.041567996651921964,0.012983793398671162,3848.0,11,미래에셋증권
2026-09-02,화학,-0.03335853518704045,0.011366079882929467,0.08758175269031546,66797.0,31,SK이노베이션
2026-09-02,기계·장비,-0.03862132788108219,-0.061156586137980105,0.032619509665436065,-35950.0,10,한미반도체
2026-09-02,타이어,-0.039467129984338024,-0.03673774477216696,-0.02091245624394759,4216.0,3,한국타이어앤테크놀로지
2026-09-02,원전,-0.04118423742264458,-0.10604300864335185,0.02878084951124371,-32815.0,3,두산에너빌리티
2026-09-02,전기·전자,-0.042127258498162734,-0.01057868527511974,0.12186021922475766,-894118.0,41,삼성전자
2026-09-02,방산,-0.0443475825088433,-0.07617566407242611,-0.05467288078223087,-130091.0,6,한화에어로스페이스
