종목코드,종목명,시가총액,PER,EPS,PBR,섹터,당일등락(%),ROE(%),부채비율(%),매출증가율(%),영업이익증가율(%),raw_score,퀄리티점수,랭킹,순위변동,정배열
000660,SK하이닉스,14838463.0,35.32,58955.0,11.93,전기·전자,8.83,61.16,35.56,198.07,405.48,0.26546666817730935,0.26460453545280316,49,-1,
062040,산일전기,54864.0,36.64,4891.0,9.3,전기·전자,6.29,0.0,23.09,52.1,47.87,0.2545286776115913,0.2533235194660096,50,1,
011070,LG이노텍,162830.0,47.71,14419.0,2.83,전기·전자,7.33,8.46,94.41,11.08,136.04,0.2531412976512949,0.2511384313663324,51,2,
047050,포스코인터내셔널,90424.0,14.72,3491.0,1.31,유통,0.19,10.31,155.36,3.36,29.86,0.250421989134973,0.2502961726723507,52,-1,
064400,LG씨엔에스,66173.0,15.02,4548.0,2.26,IT 서비스,3.48,16.64,63.13,8.55,19.4,0.2501465271400432,0.2458930152431888,53,1,
103590,일진전기,30376.0,29.23,2179.0,5.16,전기·전자,1.92,21.03,171.99,10.65,49.11,0.24309922604998147,0.2418751703337168,54,-2,
090430,아모레퍼시픽,70659.0,35.39,3413.0,1.53,화학,0.67,4.34,27.43,6.39,7.62,0.23061153177858962,0.2303439084305537,55,0,
069960,현대백화점,34310.0,17.34,9177.0,0.75,유통,3.51,4.62,88.71,-13.48,-12.16,0.23312701960142765,0.2289469123403481,56,4,
005850,에스엘,25500.0,8.2,6692.0,0.99,운송장비·부품,3.78,13.92,62.35,12.51,20.55,0.22838326982481472,0.22788459060120664,57,1,
034730,SK,441541.0,27.86,21863.0,1.33,금융,8.36,9.29,135.75,18.94,1301.07,0.2213423146814436,0.22185298937583237,58,0,
036570,엔씨소프트,48797.0,14.14,16023.0,1.31,IT 서비스,-0.44,14.0,29.42,54.71,2070.08,0.23043397820783615,0.21937301708217682,59,2,
042660,한화오션,251259.0,20.17,4066.0,4.07,운송장비·부품,6.77,25.71,204.67,2.13,70.55,0.21580995929165395,0.21560705293103724,60,0,
028260,삼성물산,595155.0,25.91,14165.0,1.2,유통,3.67,5.41,49.88,7.49,-0.56,0.21860350125728475,0.21536481133063518,61,1,
329180,HD현대중공업,494367.0,30.0,15702.0,5.29,운송장비·부품,1.07,24.55,183.91,54.78,108.74,0.20524191887306278,0.2037818375692293,62,2,
010120,LS ELECTRIC,302250.0,105.44,1911.0,14.48,전기·전자,7.35,17.29,151.24,33.38,44.96,0.2062447090190382,0.2033424303043439,63,2,
012750,에스원,27055.0,15.15,4699.0,1.37,일반서비스,-2.6,9.63,45.81,-0.06,-62.32,0.20404150353645997,0.2017315511867032,64,2,
000270,기아,566099.0,7.59,19111.0,0.92,운송장비·부품,3.87,11.9,70.93,5.3,-26.71,0.18596823964890055,0.1854844743235035,65,1,
298040,효성중공업,267428.0,51.44,55755.0,11.36,전기·전자,7.13,23.16,209.68,26.21,48.77,0.16084502080055307,0.16017565869731093,66,4,
028050,삼성E&A,83398.0,13.51,3150.0,1.76,일반서비스,5.98,13.69,126.53,8.08,19.64,0.15813116015780004,0.1599537823674655,67,1,
267270,HD현대건설기계,62059.0,23.07,5613.0,1.25,기계·장비,5.46,7.66,92.5,154.17,357.85,0.15580789569079717,0.15945913378829832,68,-2,
029780,삼성카드,55091.0,8.53,5575.0,0.57,금융,-0.63,7.21,286.72,20.46,-14.25,0.15664293736713938,0.15321454904773904,69,1,
004020,현대제철,35497.0,-511.54,-52.0,0.18,금속,1.33,0.04,76.59,3.17,0.0,0.1585677008451311,0.15191443235855778,70,3,
066570,LG전자,315996.0,36.46,5321.0,1.46,전기·전자,4.64,4.11,133.33,4.34,32.93,0.13597587067886,0.1380212940627203,71,1,
272210,한화시스템,124309.0,51.33,1282.0,2.54,전기·전자,5.11,3.6,114.58,16.95,1.94,0.12535829610568894,0.12356566436904229,72,0,
259960,크래프톤,106117.0,14.9,15438.0,1.46,IT 서비스,0.0,12.1,31.8,56.88,22.81,0.12590703664539932,0.11935424546679534,73,1,
012450,한화에어로스페이스,479024.0,32.51,28573.0,4.94,운송장비·부품,6.54,22.74,224.88,4.87,20.56,0.11991526147555445,0.11559408021301071,74,1,
012330,현대모비스,444136.0,12.34,39682.0,0.89,운송장비·부품,5.04,7.21,45.94,5.48,3.34,0.10615328969573722,0.10631328164778088,75,-1,
402340,SK스퀘어,1823665.0,20.79,66468.0,6.59,금융,16.13,55.09,7.5,318.8,400.48,0.09801199571017132,0.099065028682579,76,-1,
017670,SK텔레콤,182572.0,44.71,1901.0,1.41,통신,1.31,2.92,124.92,-1.38,-5.25,0.09228666817672522,0.09420497959024057,77,0,
001440,대한전선,58700.0,66.26,452.0,3.47,전기·전자,6.96,3.16,117.15,26.64,122.88,0.09271614451858089,0.09260025233973902,78,0,
251270,넷마블,29087.0,13.56,2618.0,0.54,IT 서비스,-3.79,6.43,43.19,4.46,6.73,0.1024014847337914,0.07993193814993352,79,3,
004170,신세계,57616.0,423.61,1440.0,1.2,유통,8.73,1.71,135.33,10.88,49.49,0.07531001789827776,0.07417435533582574,80,0,
483650,달바글로벌,24770.0,30.07,6599.0,12.38,화학,0.25,0.0,28.73,50.53,50.05,0.05003689985520124,0.06016158340290936,81,-1,
034020,두산에너빌리티,467610.0,553.03,132.0,6.01,기계·장비,2.96,1.98,130.6,13.67,63.9,0.0602243973902119,0.05970449965332797,82,0,
