종목코드,종목명,기준일,외국인_순매수대금(백만원),기관_순매수대금(백만원),외국인+기관_순매수대금(백만원),수급합(5일),수급급증(3vs10_강도),매수우위비율(10일),frgn_sum_3,orgn_sum_3,frgn_sum_5,orgn_sum_5,frgn_pos_5,orgn_pos_5,frgn_series,orgn_series,수급합(5일)_TS_Z,수급급증(3vs10)_TS_Z,매수우위비율(10일)_TS_Z,수급강화점수,랭킹,시가총액,섹터,당일등락(%),raw_score,멀티팩터점수,순위변동,정배열
006040,동원산업,2026-06-10,515.0,-198.0,317.0,2143.0,0.2998082249882845,0.5,2353.0,-1293.0,1619.0,524.0,3.0,2.0,"-591,-70,-476,122,594,24,-758,-293,2131,515","-135,-155,441,-418,-88,160,1657,-92,-1003,-198",1.4788492421986383,1.689663442211714,1.7748237599299024,4.943336444340255,14,14302.0,금융,-0.46,2.2462668543176223,1.7133456680498662,47,False
023590,다우기술,2026-06-10,8.0,-6.0,2.0,-1891.0,0.5881326352114797,0.4,-1289.0,-411.0,-2638.0,747.0,2.0,2.0,"170,-272,-534,1320,455,-593,-756,-1483,186,8","-524,66,-267,-1785,-219,677,481,-277,-128,-6",0.49920300209817275,2.132569430253501,2.187733479789944,4.819505912141618,15,16038.0,IT 서비스,-0.67,2.190391508567254,1.6850550807677451,49,False
052690,한전기술,2026-06-10,1699.0,-1477.0,222.0,4232.0,-0.43995907564707215,0.9,6971.0,-4453.0,9760.0,-5528.0,5.0,1.0,"591,6153,5947,4188,6093,1607,1182,4357,915,1699","-2092,-5949,-3739,-3958,-5645,-415,-660,-3861,885,-1477",0.965477254178356,2.1002560003140283,1.985668618073531,5.051401872565915,16,45367.0,일반서비스,-1.33,2.2950286019945563,1.6593754089293622,68,False
014820,동원시스템즈,2026-06-10,270.0,-42.0,228.0,-347.0,0.3085764809034983,0.4,54.0,-88.0,-145.0,-202.0,1.0,1.0,"-169,5,44,84,41,-160,-39,-158,-58,270","-488,-135,-40,-48,-68,-63,-51,-155,109,-42",1.4034817373898847,1.4200492675837963,2.593354719487058,5.416885724460739,17,5842.0,화학,3.71,2.4599437988221164,1.6359910947567453,104,False
073240,금호타이어,2026-06-10,-525.0,164.0,-361.0,-2032.0,0.7216763248075502,0.3,-1503.0,359.0,-2473.0,441.0,1.0,3.0,"823,206,-396,606,-20,-529,-441,-997,19,-525","-1269,-283,-187,-141,734,430,-348,-239,434,164",-0.32690815636961673,1.4498021889518162,1.0394060985313036,2.1623001311135033,18,13171.0,화학,-1.5,0.9913956784705328,1.6352456658558263,-38,False
161000,애경케미칼,2026-06-10,225.0,18.0,243.0,2246.0,-0.2012801781284086,0.8,1171.0,-23.0,2207.0,39.0,5.0,4.0,"142,621,-66,926,980,485,551,537,409,225","-259,-77,-51,23,20,16,46,-45,4,18",0.7127725911223063,-0.4460680051946863,2.2017186011034675,2.4684231870310875,19,4948.0,화학,-0.97,1.1295258414267624,1.6287689751704573,-33,False
484790,KODEX 미국30년국채액티브(H),2026-06-10,0.0,1452.0,1452.0,6822.0,0.4329440193199119,1.0,35.0,5302.0,55.0,6767.0,2.0,5.0,"0,25,-25,0,-15,0,20,76,-41,0","1061,1251,1410,1571,2314,538,927,3801,49,1452",0.7615341465749156,0.7561860618304946,1.636786358915185,3.1545065673205954,20,6409.0,ETF(Active/수익증권),0.12,1.4391033374336777,1.5903439262036299,-18,False
002790,아모레퍼시픽홀딩스,2026-06-10,1136.0,-730.0,406.0,1283.0,-0.003197291724596707,0.4,2066.0,-476.0,2965.0,-1682.0,5.0,1.0,"-920,817,282,1504,151,541,358,293,637,1136","-1308,-1472,-539,-1311,-349,-744,-462,-134,388,-730",1.903883537876985,0.7474452395663146,2.36643163323988,5.017760410683179,21,17700.0,화학,1.76,2.2798487567587267,1.5823730252786468,89,False
207940,삼성바이오로직스,2026-06-10,4303.0,-427.0,3876.0,-26282.0,0.9424309114477292,0.5,16416.0,-40672.0,11711.0,-37993.0,4.0,1.0,"-4906,3517,13618,5211,11080,6387,-11092,1079,11034,4303","-14973,-3665,-18804,-114,-5436,-2939,5618,-32139,-8106,-427",-0.2803245032913114,1.69706231241551,2.187733479789941,3.6044712889141395,22,600857.0,제약,0.15,1.6421383559231182,1.563997147399026,10,False
028050,삼성E&A,2026-06-10,-8012.0,11211.0,3199.0,25330.0,-0.38278590075798535,0.7,3711.0,14943.0,4475.0,20855.0,2.0,3.0,"1392,19656,-22399,11886,9245,3026,-2262,13380,-1657,-8012","-4909,2681,4288,-16173,3909,-965,6877,-1585,5317,11211",1.2354350061609787,0.14237542331310535,2.522387801337276,3.90019823081136,23,92708.0,일반서비스,1.83,1.7755775395624191,1.5079774992511505,35,False
011170,롯데케미칼,2026-06-10,804.0,-597.0,207.0,2771.0,-0.6924567138894757,0.8,3356.0,-1578.0,8576.0,-5805.0,4.0,1.0,"851,2794,1980,3143,2342,6581,-1361,1134,1418,804","-2624,-1141,-1593,-2318,-1469,-3494,-733,-991,10,-597",0.8953855683578276,-0.3606726135791928,2.195535316806716,2.7302482715853507,24,32039.0,화학,-1.83,1.2476676830698359,1.5074380098569673,-25,False
479520,RISE KOFR금리액티브(합성),2026-06-10,0.0,12.0,12.0,550.0,0.5421979355001036,0.7,-24.0,532.0,-24.0,574.0,0.0,5.0,"0,0,0,0,0,0,0,-24,0,0","-11,-14,-249,29,202,16,26,515,5,12",1.2979169242830353,1.4641034308405958,1.4644728025225577,4.226493157646189,25,10047.0,ETF,0.01,1.9228097409410052,1.479457388206131,63,True
449170,TIGER KOFR금리액티브(합성),2026-06-10,0.0,454.0,454.0,4266.0,0.47429407131166923,0.7,2.0,3970.0,8.0,4258.0,2.0,3.0,"-1,-5,-3,4,10,0,6,2,0,0","1209,663,-3597,829,226,-1361,1649,4151,-635,454",1.651879560445353,0.20678076057232142,1.3922862811383296,3.250946602156004,26,21750.0,ETF,0.0,1.482619425065136,1.4705261458708858,13,True
