ticker,market_cap,pe,pb,roe,rev_growth,earn_growth,debt_equity
CCL,40473776128,12.872247,3.105537,0.27853,0.061,,203.901
CVNA,85529124864,45.861538,16.018269,0.67946,0.58,9.467,133.119
CARR,51253948416,36.284023,3.7143373,0.10925,-0.06,-0.978,87.719
CAT,371880001536,42.201275,17.344,0.43526,0.18,-0.114,206.67
CBOE,31416397824,28.812681,6.108633,0.2336,0.087,0.605,30.958
CASY,27975153664,43.300056,7.24508,0.17882,0.003,0.498,75.146
CBRE,44719472640,39.353245,4.9685183,0.13572,0.118,-0.121,106.244
CDW,17279981568,16.579208,6.6514406,0.43018,0.063,0.088,236.871
COR,63720472576,39.370193,33.390415,1.33467,0.055,0.148,472.584
CNC,18770954240,,0.940727,-0.28678,0.232,,90.556
CNP,28129019904,26.875,2.5171223,0.096429996,0.107,0.052,206.599
CF,17315401728,12.5618725,3.576348,0.23401,0.228,0.371,46.765
SCHW,161693974528,18.345924,3.8033218,0.1909,0.158,0.386,67.073
CHTR,29963556864,6.5364637,1.8664268,0.28667998,-0.023,0.024,482.329
CVX,366489468928,27.793053,1.9541183,0.07231,-0.082,-0.238,24.323
CRL,9072999424,,2.85972,-0.04232,-0.008,,81.947
CMG,47377223680,31.429827,16.51152,0.47355,0.049,0.04,179.319
CB,129388011520,12.887806,1.7542473,0.14337,0.055,0.279,30.944
CHD,22948458496,32.079468,5.726106,0.1762,0.039,-0.208,59.517
CIEN,71782801408,323.2038,25.704372,0.08201,0.331,2.323,56.931
CI,74431946752,12.56267,1.7599243,0.1513,0.104,-0.093,75.137
CINF,25971574784,11.003959,1.6293085,0.16036,0.218,0.673,5.568
CSCO,340781891584,31.02518,7.1369467,0.23754999,0.097,0.312,66.509
CTAS,71683604480,37.72,14.967004,0.41303003,0.089,0.097,60.943
C,231224983552,16.338688,1.1778228,0.07649,0.169,0.561,
CFG,27457218560,15.2725115,1.1411523,0.07739,0.138,0.468,
CME,104361746432,25.77509,3.5941424,0.1475,0.08,0.35,13.078
CLX,12756708352,17.116203,-101.1412,9.87179,-0.008,-0.162,9191.429
CMS,23946739712,22.088068,2.6708117,0.108559996,0.123,0.066,194.861
KO,325996544000,24.914473,10.128376,0.43323,0.024,0.036,139.793
CTSH,29586227200,13.442983,1.95553,0.15158,0.049,0.221,7.819
COHR,64684986368,331.75,7.5725384,0.032360002,0.175,0.73,39.901
CL,68845527040,32.627373,1280.7462,4.9747,0.058,,2343.562
