단축코드,표준코드,한글명,그룹코드,시가총액규모,지수업종대분류,지수업종중분류,지수업종소분류,제조업,저유동성,지배구조지수종목,KOSPI200섹터업종,KOSPI100,KOSPI50,KRX,ETP,ELW발행,KRX100,KRX자동차,KRX반도체,KRX바이오,KRX은행,SPAC,KRX에너지화학,KRX철강,단기과열,KRX미디어통신,KRX건설,Non1,KRX증권,KRX선박,KRX섹터_보험,KRX섹터_운송,SRI,기준가,매매수량단위,시간외수량단위,거래정지,정리매매,관리종목,시장경고,경고예고,불성실공시,우회상장,락구분,액면변경,증자구분,증거금비율,신용가능,신용기간,전일거래량,액면가,상장일자,상장주수,자본금,결산월,공모가,우선주,공매도과열,이상급등,KRX300,KOSPI,매출액,영업이익,경상이익,당기순이익,ROE,기준년월,시가총액,그룹사코드,회사신용한도초과,담보대출가능,대주가능
002880,KR7002880003,대유에이텍,ST,3.0,27,15,0,,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,1109,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,57272,500,19770218,46744,23372010000,12.0,,0,,N,N,Y,1474,108,29,15,13.56,20250331.0,518,,N,N,N
0028X0,KR70028X0003,KODEX 미국금융테크액티브,EF,,0,0,0,N,N,,0,N,N,N,2.0,N,N,,,,,N,,,0,,,Y,,,,,,11885,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,30271,0,20250527,2100,0,12.0,,0,,N,N,N,0,0,0,0,0.0,,249,,N,N,N
002900,KR7002900009,TYM,ST,3.0,27,12,0,,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,5570,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,444800,2500,19730626,45050,112627390000,12.0,,0,,N,N,Y,2257,151,136,103,10.1,20250331.0,2509,,N,N,N
002920,KR7002920007,유성기업,ST,3.0,27,15,0,,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,2415,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,13711,500,19881010,25947,12973750000,12.0,,0,,N,N,Y,782,-5,39,30,2.64,20250331.0,626,,N,N,N
002960,KR7002960003,한국쉘석유,ST,3.0,27,8,0,,N,N,0,N,N,Y,,N,N,N,N,N,N,N,Y,N,0,N,N,N,N,N,N,N,N,444000,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,970,5000,19880810,1300,7000000000,12.0,,0,,N,N,Y,3272,460,508,367,28.93,20241231.0,5772,,N,N,N
002990,KR7002990000,금호건설,ST,3.0,18,0,0,,N,N,0,N,N,Y,,N,N,N,N,N,N,N,N,N,0,N,Y,N,N,N,N,N,N,3520,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,41842,5000,19760626,36996,184983800000,12.0,,0,,N,N,Y,4680,57,12,8,2.25,20250331.0,1302,,N,N,N
002995,KR7002991008,금호건설우,ST,0.0,18,0,0,,Y,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,11480,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,1157,5000,19881006,292,1461330000,12.0,,1,,N,N,N,0,0,0,0,0.0,,33,,N,N,N
003000,KR7003000007,부광약품,ST,3.0,27,9,0,,N,N,0,N,N,Y,,N,N,N,N,Y,N,N,N,N,0,N,N,N,N,N,N,N,N,3355,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,246099,500,19880805,98664,51506993000,12.0,,0,,N,N,Y,478,30,-3,-1,-0.11,20250331.0,3310,378,N,N,N
003010,KR7003010006,혜인,ST,3.0,16,0,0,,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,5300,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,47121,500,19880920,12712,6356373500,12.0,,0,,N,N,Y,2488,142,97,73,6.19,20241231.0,673,,N,N,N
003030,KR7003030004,세아제강지주,ST,2.0,21,0,0,,N,N,3,N,N,Y,,N,N,N,N,N,N,N,N,Y,0,N,N,N,N,N,N,N,N,198300,1,1,N,N,N,0,N,N,N,0,0,0,30,Y,90,6887,5000,19690513,4141,20708285000,12.0,,0,,N,Y,Y,9470,650,692,597,9.16,20250331.0,8212,474,N,N,N
003060,KR7003060001,에이프로젠바이오로직스,ST,3.0,27,9,0,,N,N,0,N,N,Y,,N,N,N,N,Y,N,N,N,N,0,N,N,N,N,N,N,N,N,622,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,302256,500,19841019,198407,99203922500,12.0,,0,,N,N,Y,168,-157,-431,-431,-48.3,20250331.0,1234,,N,N,N
003070,KR7003070000,코오롱글로벌,ST,3.0,18,0,0,,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,9560,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,8815,5000,19780915,18932,94663565000,12.0,,0,,N,N,Y,6440,96,-490,-369,-24.28,20250331.0,1809,KOL,N,N,N
