단축코드,표준코드,한글명,그룹코드
086820,KR7086820008,바이오솔루션,ST
086890,KR7086890001,이수앱지스,ST
086900,KR7086900008,메디톡스,ST
086960,KR7086960002,MDS테크,ST
086980,KR7086980000,쇼박스,ST
087010,KR7087010005,펩트론,ST
087260,KR7087260006,모바일어플라이언스,ST
087600,KR7087600003,픽셀플러스,ST
088130,KR7088130000,동아엘텍,ST
088280,KR7088280003,쏘닉스,ST
088290,KR7088290002,이원컴포텍,ST
088340,KR7088340005,유라클,ST
088390,KR7088390000,이녹스,ST
088800,KR7088800008,에이스테크,ST
088910,KR7088910005,동우팜투테이블,ST
089010,KR7089010003,켐트로닉스,ST
089030,KR7089030001,테크윙,ST
089140,KR7089140008,넥스턴앤롤코리아,ST
089150,KR7089150007,케이씨티,ST
089230,KR7089230007,THE E&M,ST
089600,KR7089600001,KT나스미디어,ST
089790,KR7089790000,제이티,ST
089850,KR7089850002,유비벨록스,ST
089890,KR7089890008,코세스,ST
089970,KR7089970008,브이엠,ST
089980,KR7089980007,상아프론테크,ST
090150,KR7090150004,아이윈,ST
090360,KR7090360009,로보스타,ST
090410,KR7090410002,덕신이피씨,ST
090470,KR7090470006,제이스로보틱스,ST
090710,KR7090710005,휴림로봇,ST
090850,KR7090850009,현대이지웰,ST
091120,KR7091120006,이엠텍,ST
091340,KR7091340000,S&K폴리텍,ST
091440,KR7091440008,한울소재과학,ST
091580,KR7091580001,상신이디피,ST
091590,KR7091590000,남화토건,ST
091700,KR7091700005,파트론,ST
091970,KR7091970004,나노캠텍,ST
092040,KR7092040005,아미코젠,ST
092070,KR7092070002,디엔에프,ST
092130,KR7092130004,이크레더블,ST
092190,KR7092190008,서울바이오시스,ST
092300,KR7092300003,현우산업,ST
092460,KR7092460005,한라IMS,ST
092600,KR7092600006,앤씨앤,ST
092730,KR7092730001,네오팜,ST
092870,KR7092870005,엑시콘,ST
093190,KR7093190007,빅솔론,ST
093320,KR7093320000,케이아이엔엑스,ST
093380,KR7093380004,풍강,ST
093520,KR7093520005,매커스,ST
093640,KR7093640001,케이알엠,ST
093920,KR7093920007,서원인텍,ST
094170,KR7094170008,동운아나텍,ST
094360,KR7094360005,칩스앤미디어,ST
094480,KR7094480001,갤럭시아머니트리,ST
094820,KR7094820008,일진파워,ST
094840,KR7094840006,슈프리마에이치큐,ST
094850,KR7094850005,참좋은여행,ST
094860,KR7094860004,네오리진,ST
094940,KR7094940004,푸른기술,ST
094970,KR7094970001,제이엠티,ST
095190,KR7095190005,신화프리텍,ST
095270,KR7095270005,웨이브일렉트로,ST
095340,KR7095340006,ISC,ST
095500,KR7095500005,미래나노텍,ST
095610,KR7095610002,테스,ST
095660,KR7095660007,네오위즈,ST
095700,KR7095700001,제넥신,ST
095910,KR7095910006,에스에너지,ST
096240,KR7096240007,크레버스,ST
096250,KR7096250006,와이즈넛,ST
096350,KR7096350004,대창솔루션,ST
096530,KR7096530001,씨젠,ST
096610,KR7096610001,알에프세미,ST
096630,KR7096630009,에스코넥,ST
096690,KR7096690003,에이루트,ST
096870,KR7096870001,엘디티,ST
097780,KR7097780001,에코볼트,ST
097800,KR7097800007,윈팩,ST
097870,KR7097870000,효성오앤비,ST
098070,KR7098070006,한텍,ST
098120,KR7098120009,마이크로컨텍솔,ST
098460,KR7098460009,고영,ST
098660,KR7098660004,에스티오,ST
099190,KR7099190001,아이센스,ST
099220,KR7099220006,SDN,ST
099320,KR7099320004,쎄트렉아이,ST
099390,KR7099390007,브레인즈컴퍼니,ST
099410,KR7099410003,동방선기,ST
099430,KR7099430001,바이오플러스,ST
099440,KR7099440000,스맥,ST
099520,KR7099520009,DGI,ST
099750,KR7099750002,이지케어텍,ST
100030,KR7100030006,인지소프트,ST
100120,KR7100120005,뷰웍스,ST
100130,KR7100130004,동국S&C,ST
100590,KR7100590009,머큐리,ST
100660,KR7100660000,서암기계공업,ST
100700,KR7100700004,세운메디칼,ST
100790,KR7100790005,미래에셋벤처투자,ST
101000,KR7101000008,KS인더스트리,ST
101160,KR7101160000,월덱스,ST
101170,KR7101170009,우림피티에스,ST
101240,KR7101240000,씨큐브,ST
101330,KR7101330009,모베이스,ST
101360,KR7101360006,에코앤드림,ST
101390,KR7101390003,아이엠,ST
101400,KR7101400000,엔시트론,ST
101490,KR7101490001,에스앤에스텍,ST
101670,KR7101670008,하이드로리튬,ST
101680,KR7101680007,한국정밀기계,ST
101730,KR7101730000,위메이드맥스,ST
101930,KR7101930006,인화정공,ST
101970,KR7101970002,우양에이치씨,ST
102120,KR7102120003,어보브반도체,ST
102370,KR7102370004,케이옥션,ST
102710,KR7102710001,이엔에프테크놀로지,ST
102940,KR7102940004,코오롱생명과학,ST
103230,KR7103230009,에스앤더블류,ST
103840,KR7103840005,우양,ST
104040,KR7104040001,디에스엠,ST
104200,KR7104200001,NHN벅스,ST
104460,KR7104460001,디와이피엔에프,ST
104480,KR7104480009,티케이케미칼,ST
104540,KR7104540000,코렌텍,ST
104620,KR7104620000,노랑풍선,ST
104830,KR7104830005,원익머트리얼즈,ST
105330,KR7105330005,케이엔더블유,ST
105550,KR7105550008,엣지파운드리,ST
105740,KR7105740005,디케이락,ST
105760,KR7105760003,포스뱅크,ST
106080,KR7106080005,케이이엠텍,ST
106190,KR7106190002,하이텍팜,ST
106240,KR7106240005,파인테크닉스,ST
106520,KR7106520000,노블엠앤비,ST
107600,KR7107600009,새빗켐,ST
107640,KR7107640005,한중엔시에스,ST
108230,KR7108230004,톱텍,ST
108380,KR7108380007,대양전기공업,ST
108490,KR7108490004,로보티즈,ST
108860,KR7108860008,셀바스AI,ST
109080,KR7109080002,옵티시스,ST
109610,KR7109610006,에스와이,ST
109670,KR7109670000,씨싸이트,ST
109740,KR7109740001,디에스케이,ST
109820,KR7109820001,진매트릭스,ST
109860,KR7109860007,동일금속,ST
109960,KR7109960005,앱토크롬,ST
110020,KR7110020005,전진바이오팜,ST
110790,KR7110790003,크리스에프앤씨,ST
110990,KR7110990009,디아이티,ST
111710,KR7111710000,남화산업,ST
112040,KR7112040001,위메이드,ST
112290,KR7112290002,와이씨켐,ST
113810,KR7113810006,디젠스,ST
114190,KR7114190002,강원에너지,ST
114450,KR7114450000,그린생명과학,ST
114630,KR7114630007,폴라리스우노,ST
114810,KR7114810005,한솔아이원스,ST
114840,KR7114840002,아이패밀리에스씨,ST
115160,KR7115160004,휴맥스,ST
115180,KR7115180002,큐리언트,ST
115310,KR7115310005,인포바인,ST
115440,KR7115440000,우리넷,ST
115450,KR7115450009,HLB테라퓨틱스,ST
115480,KR7115480006,씨유메디칼,ST
115500,KR7115500001,케이씨에스,ST
115530,KR7115530008,씨엔플러스,ST
115570,KR7115570004,스타플렉스,ST
115610,KR7115610008,이미지스,ST
117670,KR7117670000,알파칩스,ST
117730,KR7117730002,티로보틱스,ST
118990,KR7118990001,모트렉스,ST
119500,KR7119500007,포메탈,ST
119610,KR7119610004,인터로조,ST
119830,KR7119830008,아이텍,ST
119850,KR7119850006,지엔씨에너지,ST
120240,KR7120240007,대정화금,ST
121440,KR7121440002,골프존홀딩스,ST
121600,KR7121600001,나노신소재,ST
121800,KR7121800007,비덴트,ST
121850,KR7121850002,코이즈,ST
121890,KR7121890008,에스디시스템,ST
122310,KR7122310006,제노레이,ST
122350,KR7122350002,삼기,ST
122450,KR7122450000,KX,ST
122640,KR7122640006,예스티,ST
122690,KR7122690001,서진오토모티브,ST
122870,KR7122870009,와이지엔터테인먼트,ST
122990,KR7122990005,와이솔,ST
123010,KR7123010001,알엔티엑스,ST
123040,KR7123040008,엠에스오토텍,ST
123330,KR7123330003,제닉,ST
123410,KR7123410003,코리아에프티,ST
123420,KR7123420002,위메이드플레이,ST
123570,KR7123570004,이엠넷,ST
123750,KR7123750002,알톤,ST
123840,KR7123840001,뉴온,ST
123860,KR7123860009,아나패스,ST
124500,KR7124500000,아이티센글로벌,ST
124560,KR7124560004,태웅로직스,ST
125020,KR7125020008,티씨머티리얼즈,ST
125210,KR7125210005,아모그린텍,ST
125490,KR7125490003,한라캐스트,ST
126340,KR7126340009,비나텍,ST
126600,KR7126600006,BGF에코머티리얼즈,ST
126640,KR7126640002,화신정공,ST
126700,KR7126700004,하이비젼시스템,ST
126730,KR7126730001,코칩,ST
126880,KR7126880004,제이엔케이글로벌,ST
127120,KR7127120004,제이에스링크,ST
127710,KR7127710002,아시아경제,ST
127980,KR7127980001,화인써키트,ST
128540,KR7128540002,에코캡,ST
128660,KR7128660008,피제이메탈,ST
129890,KR7129890000,앱코,ST
129920,KR7129920005,대성하이텍,ST
130500,KR7130500002,GH신소재,ST
130580,KR7130580004,나이스디앤비,ST
130740,KR7130740004,티피씨글로벌,ST
131030,KR7131030009,옵투스제약,ST
131090,KR7131090003,시큐브,ST
131100,KR7131100000,티엔엔터테인먼트,ST
131180,KR7131180002,딜리,ST
131220,KR7131220006,대한과학,ST
131290,KR7131290009,티에스이,ST
131370,KR7131370009,알서포트,ST
131400,KR7131400004,이브이첨단소재,ST
131760,KR7131760001,파인텍,ST
131970,KR7131970006,두산테스나,ST
133750,KR7133750000,메가엠디,ST
134060,KR7134060003,이퓨쳐,ST
134580,KR7134580000,탑코미디어,ST
136150,KR7136150000,원일티엔아이,ST
136410,KR7136410008,아셈스,ST
136480,KR7136480001,하림,ST
136540,KR7136540002,윈스테크넷,ST
137080,KR7137080008,나래나노텍,ST
137400,KR7137400008,피엔티,ST
137940,KR7137940003,넥스트아이,ST
137950,KR7137950002,제이씨케미칼,ST
138070,KR7138070008,신진에스엠,ST
138080,KR7138080007,오이솔루션,ST
138360,KR7138360003,앤로보틱스,ST
138610,KR7138610001,나이벡,ST
139050,KR7139050009,BF랩스,ST
139670,KR7139670004,키네마스터,ST
140070,KR7140070004,서플러스글로벌,ST
140410,KR7140410002,메지온,ST
140430,KR7140430000,카티스,ST
140520,KR7140520008,대창스틸,ST
140670,KR7140670001,알에스오토메이션,ST
140860,KR7140860008,파크시스템스,ST
141000,KR7141000000,비아트론,ST
141080,KR7141080002,리가켐바이오,ST
142210,KR7142210004,유니트론텍,ST
142280,KR7142280007,녹십자엠에스,ST
142760,KR7142760008,모아라이프플러스,ST
143160,KR7143160000,아이디스,ST
143240,KR7143240000,사람인,ST
143540,KR7143540003,영우디에스피,ST
144510,KR7144510005,지씨셀,ST
144960,KR7144960002,뉴파워프라즈마,ST
145020,KR7145020004,휴젤,ST
145170,KR7145170007,노브랜드,ST
146060,KR7146060009,율촌,ST
146320,KR7146320007,비씨엔씨,ST
147760,KR7147760003,피엠티,ST
147830,KR7147830004,제룡산업,ST
148150,KR7148150006,세경하이테크,ST
148250,KR7148250004,알엔투테크놀로지,ST
148780,KR7148780000,비큐AI,ST
148930,KR7148930001,에이치와이티씨,ST
149950,KR7149950008,아바텍,ST
149980,KR7149980005,하이로닉,ST
150900,KR7150900009,파수,ST
151860,KR7151860004,KG에코솔루션,ST
153460,KR7153460001,네이블,ST
153490,KR7153490008,우리이앤엘하루틴,ST
153710,KR7153710009,옵티팜,ST
154030,KR7154030001,아시아종묘,ST
154040,KR7154040000,다산솔루에타,ST
155650,KR7155650005,와이엠씨,ST
156100,KR7156100000,엘앤케이바이오,ST
158430,KR7158430009,아톤,ST
159010,KR7159010008,아스플로,ST
159580,KR7159580000,제로투세븐,ST
159910,KR7159910009,에코글로우,ST
160190,KR7160190005,하이젠알앤엠,ST
160550,KR7160550000,NEW,ST
160980,KR7160980009,싸이맥스,ST
161580,KR7161580006,필옵틱스,ST
162300,KR7162300008,신스틸,ST
163280,KR7163280001,에어레인,ST
163730,KR7163730005,핑거,ST
166090,KR7166090001,하나머티리얼즈,ST
166480,KR7166480004,코아스템켐온,ST
168330,KR7168330009,내츄럴엔도텍,ST
168360,KR7168360006,펨트론,ST
169330,KR7169330008,엠브레인,ST
170030,KR7170030001,현대공업,ST
170790,KR7170790000,파이오링크,ST
170920,KR7170920003,엘티씨,ST
171010,KR7171010002,램테크놀러지,ST
171090,KR7171090004,선익시스템,ST
171120,KR7171120009,라이온켐텍,ST
172670,KR7172670002,에이엘티,ST
173130,KR7173130006,오파스넷,ST
173940,KR7173940008,에프엔씨엔터,ST
174900,KR7174900001,앱클론,ST
175140,KR7175140003,휴먼테크놀로지,ST
175250,KR7175250000,아이큐어,ST
176750,KR7176750008,듀켐바이오,ST
177350,KR7177350006,베셀,ST
177830,KR7177830007,파버나인,ST
177900,KR7177900008,쓰리에이로직스,ST
178320,KR7178320008,서진시스템,ST
178780,KR7178780003,일월지엠엘,ST
179290,KR7179290002,엠아이텍,ST
179530,KR7179530001,애드바이오텍,ST
179900,KR7179900006,유티아이,ST
180400,KR7180400004,DXVX,ST
182360,KR7182360008,큐브엔터,ST
182400,KR7182400002,엔케이젠바이오텍코리아,ST
183300,KR7183300003,코미코,ST
183490,KR7183490002,엔지켐생명과학,ST
184230,KR7184230001,SGA솔루션즈,ST
185490,KR7185490000,아이진,ST
186230,KR7186230009,그린플러스,ST
187220,KR7187220009,디티앤씨,ST
187270,KR7187270004,신화콘텍,ST
187420,KR7187420005,HLB제넥스,ST
187660,KR7187660006,페니트리움바이오,ST
187790,KR7187790001,나노,ST
187870,KR7187870001,디바이스,ST
188040,KR7188040000,바이오포트,ST
188260,KR7188260004,세니젠,ST
189300,KR7189300007,인텔리안테크,ST
189330,KR7189330004,씨이랩,ST
189690,KR7189690001,포시에스,ST
189860,KR7189860000,서전기전,ST
189980,KR7189980006,흥국에프엔비,ST
190510,KR7190510008,나무가,ST
190650,KR7190650002,코리아에셋투자증권,ST
191410,KR7191410000,육일씨엔에쓰,ST
191420,KR7191420009,테고사이언스,ST
192250,KR7192250009,케이사인,ST
192390,KR7192390003,윈하이텍,ST
192410,KR7192410009,오늘이엔엠,ST
192440,KR7192440006,슈피겐코리아,ST
193250,KR7193250008,링크드,ST
194480,KR7194480000,데브시스터즈,ST
194700,KR7194700001,노바렉스,ST
195500,KR7195500004,마니커에프앤지,ST
195940,KR7195940002,HK이노엔,ST
195990,KR7195990007,에이비프로바이오,ST
196170,KR7196170005,알테오젠,ST
196300,KR7196300008,HLB펩,ST
196450,KR7196450001,코아시아씨엠,ST
196490,KR7196490007,디에이테크놀로지,ST
196700,KR7196700009,웹스,ST
197140,KR7197140007,디지캡,ST
198080,KR7198080004,캐프,ST
198440,KR7198440000,강동씨앤엘,ST
198940,KR7198940009,한주라이트메탈,ST
199430,KR7199430000,케이엔알시스템,ST
199480,KR7199480005,뱅크웨어글로벌,ST
199550,KR7199550005,레이저옵텍,ST
199730,KR7199730003,바이오인프라,ST
199800,KR7199800004,툴젠,ST
199820,KR7199820002,제일일렉트릭,ST
200130,KR7200130003,콜마비앤에이치,ST
200230,KR7200230001,텔콘RF제약,ST
200350,KR7200350007,아티스트스튜디오,ST
200470,KR7200470003,에이팩트,ST
200670,KR7200670008,휴메딕스,ST
200710,KR7200710002,에이디테크놀로지,ST
200780,KR7200780005,비씨월드제약,ST
201490,KR7201490000,미투온,ST
203400,KR7203400007,에이비온,ST
203450,KR7203450002,유니온바이오메트릭스,ST
203650,KR7203650007,드림시큐리티,ST
203690,KR7203690003,아크솔루션스,ST
204020,KR7204020002,그리티,ST
204270,KR7204270003,제이앤티씨,ST
204610,KR7204610000,티쓰리,ST
204620,KR7204620009,글로벌텍스프리,ST
204840,KR7204840003,지엘팜텍,ST
205100,KR7205100001,엑셈,ST
205470,KR7205470008,휴마시스,ST
205500,KR7205500002,넥써쓰,ST
206400,KR7206400004,베노티앤알,ST
206560,KR7206560005,덱스터,ST
206640,KR7206640005,바디텍메드,ST
206650,KR7206650004,유바이오로직스,ST
207760,KR7207760000,미스터블루,ST
208140,KR7208140004,정다운,ST
208350,KR7208350009,지란지교시큐리티,ST
208370,KR7208370007,셀바스헬스케어,ST
208640,KR7208640003,썸에이지,ST
208710,KR7208710004,포톤,ST
208860,KR7208860007,다산디엠씨,ST
209640,KR7209640002,와이제이링크,ST
210120,KR7210120002,캔버스엔,ST
211050,KR7211050000,인카금융서비스,ST
211270,KR7211270004,AP위성,ST
212560,KR7212560007,네오오토,ST
212710,KR7212710008,아이에스티이,ST
213420,KR7213420003,덕산네오룩스,ST
214150,KR7214150005,클래시스,ST
214180,KR7214180002,헥토이노베이션,ST
214260,KR7214260002,라파스,ST
214270,KR7214270001,FSN,ST
214370,KR7214370009,케어젠,ST
214430,KR7214430001,아이쓰리시스템,ST
214450,KR7214450009,파마리서치,ST
214610,KR7214610008,롤링스톤,ST
214680,KR7214680001,디알텍,ST
215000,KR7215000001,골프존,ST
215090,KR7215090002,솔디펜스,ST
215100,KR7215100009,로보로보,ST
215200,KR7215200007,메가스터디교육,ST
215360,KR7215360009,우리산업,ST
215380,KR7215380007,우정바이오,ST
215480,KR7215480005,토박스코리아,ST
215600,KR7215600008,신라젠,ST
215790,KR7215790007,이노인스트루먼트,ST
216050,KR7216050005,인크로스,ST
216080,KR7216080002,제테마,ST
217190,KR7217190008,제너셈,ST
217270,KR7217270008,넵튠,ST
217330,KR7217330000,싸이토젠,ST
217480,KR7217480003,에스디생명공학,ST
217500,KR7217500008,러셀,ST
217620,KR7217620004,선샤인푸드,ST
217730,KR7217730001,강스템바이오텍,ST
217820,KR7217820000,원익피앤이,ST
218150,KR7218150001,미래생명자원,ST
218410,KR7218410009,RFHIC,ST
219130,KR7219130002,타이거일렉,ST
219420,KR7219420007,링크제니시스,ST
219550,KR7219550001,디와이디,ST
219750,KR7219750007,한국비티비,ST
220100,KR7220100002,퓨쳐켐,ST
220180,KR7220180004,핸디소프트,ST
220260,KR7220260004,켐트로스,ST
221800,KR7221800006,지구홀딩스,ST
221840,KR7221840002,하이즈항공,ST
221980,KR7221980006,케이디켐,ST
222040,KR7222040008,코스맥스엔비티,ST
222080,KR7222080004,씨아이에스,ST
222110,KR7222110009,팬젠,ST
222160,KR7222160004,NPX,ST
222420,KR7222420002,쎄노텍,ST
222800,KR7222800005,심텍,ST
222980,KR7222980005,한국맥널티,ST
223250,KR7223250002,드림씨아이에스,ST
223310,KR7223310004,사토시홀딩스,ST
224060,KR7224060004,더코디,ST
224110,KR7224110007,에이텍모빌리티,ST
225190,KR7225190008,LK삼양,ST
225220,KR7225220003,제놀루션,ST
225430,KR7225430008,케이엠제약,ST
225530,KR7225530005,HC보광산업,ST
225570,KR7225570001,넥슨게임즈,ST
225590,KR7225590009,패션플랫폼,ST
226330,KR7226330009,신테카바이오,ST
226340,KR7226340008,본느,ST
226400,KR7226400000,오스테오닉,ST
226590,KR7226590008,엠디바이스,ST
226950,KR7226950004,올릭스,ST
227100,KR7227100005,프로브잇,ST
227610,KR7227610003,아우딘퓨쳐스,ST
227950,KR7227950003,엔투텍,ST
228340,KR7228340006,동양파일,ST
228670,KR7228670006,레이,ST
228760,KR7228760005,지노믹트리,ST
228850,KR7228850004,레이언스,ST
229000,KR7229000005,젠큐릭스,ST
230240,KR7230240004,에치에프알,ST
230360,KR7230360000,에코마케팅,ST
230980,KR7230980005,비유테크놀러지,ST
232140,KR7232140004,와이씨,ST
232680,KR7232680009,라온로보틱스,ST
232830,KR7232830000,아이티센피엔에스,ST
234030,KR7234030005,싸이닉솔루션,ST
234100,KR7234100006,폴라리스세원,ST
234300,KR7234300002,에스트래픽,ST
234340,KR7234340008,헥토파이낸셜,ST
234690,KR7234690006,녹십자웰빙,ST
234920,KR7234920007,자이글,ST
235980,KR7235980000,메드팩토,ST
236200,KR7236200002,슈프리마,ST
236810,KR7236810008,엔비티,ST
237690,KR7237690003,에스티팜,ST
237750,KR7237750005,피앤씨테크,ST
237820,KR7237820006,플레이디,ST
237880,KR7237880000,클리오,ST
238090,KR7238090005,앤디포스,ST
238120,KR7238120000,얼라인드,ST
238200,KR7238200000,비피도,ST
238490,KR7238490007,힘스,ST
239340,KR7239340003,이스트에이드,ST
239610,KR7239610009,에이치엘사이언스,ST
239890,KR7239890007,피엔에이치테크,ST
240550,KR7240550004,동방메디컬,ST
240600,KR7240600007,유진테크놀로지,ST
240810,KR7240810002,원익IPS,ST
241520,KR7241520006,DSC인베스트먼트,ST
241690,KR7241690007,유니테크노,ST
241710,KR7241710003,코스메카코리아,ST
241770,KR7241770007,메카로,ST
241790,KR7241790005,티이엠씨씨엔에스,ST
241820,KR7241820000,피씨엘,ST
241840,KR7241840008,에이스토리,ST
242040,KR7242040004,나무기술,ST
243070,KR7243070000,휴온스,ST
243840,KR7243840006,신흥에스이씨,ST
244460,KR7244460002,올리패스,ST
245620,KR7245620000,EDGC,ST
246250,KR7246250005,에스엘에스바이오,ST
246690,KR7246690002,TS인베스트먼트,ST
246710,KR7246710008,티앤알바이오팹,ST
246720,KR7246720007,아스타,ST
246960,KR7246960009,SCL사이언스,ST
247540,KR7247540008,에코프로비엠,ST
247660,KR7247660004,나노씨엠에스,ST
250000,KR7250000007,보라티알,ST
250060,KR7250060001,모비스,ST
250930,KR7250930005,예선테크,ST
251120,KR7251120002,바이오에프디엔씨,ST
251370,KR7251370003,와이엠티,ST
251630,KR7251630000,브이원텍,ST
251970,KR7251970000,펌텍코리아,ST
252500,KR7252500004,세화피앤씨,ST
252990,KR7252990007,샘씨엔에스,ST
253450,KR7253450001,스튜디오드래곤,ST
253590,KR7253590004,네오셈,ST
253840,KR7253840003,수젠텍,ST
254120,KR7254120009,자비스,ST
254490,KR7254490006,미래반도체,ST
255220,KR7255220006,SG,ST
255440,KR7255440000,야스,ST
256150,KR7256150004,한독크린텍,ST
256630,KR7256630005,포인트엔지니어링,ST
256840,KR7256840000,한국비엔씨,ST
256940,KR7256940008,킵스파마,ST
257370,KR7257370007,피엔티엠에스,ST
257720,KR7257720003,실리콘투,ST
258610,KR7258610005,케일럼,ST
258790,KR7258790005,소프트캠프,ST
258830,KR7258830009,세종메디칼,ST
259630,KR7259630002,엠플러스,ST
260660,KR7260660006,알리코제약,ST
260930,KR7260930003,씨티케이,ST
260970,KR7260970009,에스앤디,ST
261200,KR7261200000,덴티스,ST
261520,KR7261520001,이지스,ST
261780,KR7261780001,차백신연구소,ST
262260,KR7262260003,에이프로,ST
262840,KR7262840002,아이퀘스트,ST
263020,KR7263020000,디케이앤디,ST
263050,KR7263050007,유틸렉스,ST
263600,KR7263600009,덕우전자,ST
263690,KR7263690000,디알젬,ST
263700,KR7263700007,케어랩스,ST
263720,KR7263720005,디앤씨미디어,ST
263750,KR7263750002,펄어비스,ST
263770,KR7263770000,유에스티,ST
263800,KR7263800005,데이타솔루션,ST
263810,KR7263810004,상신전자,ST
263860,KR7263860009,지니언스,ST
263920,KR7263920001,휴엠앤씨,ST
264450,KR7264450008,유비쿼스,ST
264660,KR7264660002,씨앤지하이테크,ST
264850,KR7264850009,이랜시스,ST
265520,KR7265520007,AP시스템,ST
265560,KR7265560003,영화테크,ST
265740,KR7265740001,엔에프씨,ST
267320,KR7267320000,나인테크,ST
267790,KR7267790004,배럴,ST
267980,KR7267980001,매일유업,ST
269620,KR7269620001,시스웍,ST
270520,KR7270520000,앱튼,ST
270660,KR7270660004,에브리봇,ST
270870,KR7270870009,뉴트리,ST
271830,KR7271830002,팸텍,ST
272110,KR7272110008,케이엔제이,ST
272290,KR7272290008,이녹스첨단소재,ST
273060,KR7273060004,와이즈버즈,ST
273640,KR7273640003,와이엠텍,ST
274090,KR7274090000,켄코아에어로스페이스,ST
274400,KR7274400001,이노시뮬레이션,ST
275630,KR7275630002,에스에스알,ST
276040,KR7276040003,스코넥,ST
276730,KR7276730009,한울앤제주,ST
277070,KR7277070009,린드먼아시아,ST
277410,KR7277410007,인산가,ST
277810,KR7277810008,레인보우로보틱스,ST
277880,KR7277880001,티에스아이,ST
278280,KR7278280003,천보,ST
278650,KR7278650007,HLB바이오스텝,ST
279600,KR7279600001,미디어젠,ST
281740,KR7281740001,레이크머티리얼즈,ST
282720,KR7282720002,금양그린파워,ST
282880,KR7282880004,코윈테크,ST
284620,KR7284620002,카이노스메드,ST
285490,KR7285490009,노바텍,ST
285800,KR7285800009,진영,ST
286750,KR7286750005,나노실리칸첨단소재,ST
287840,KR7287840003,인투셀,ST
288330,KR7288330004,파라택시스코리아,ST
288620,KR7288620008,에스퓨얼셀,ST
288980,KR7288980006,모아데이타,ST
289010,KR7289010001,아이스크림에듀,ST
289080,KR7289080004,SV인베스트먼트,ST
289220,KR7289220006,자이언트스텝,ST
289930,KR7289930000,웨이비스,ST
290090,KR7290090000,트윔,ST
290120,KR7290120005,DH오토리드,ST
290270,KR7290270008,휴네시온,ST
290520,KR7290520006,신도기연,ST
290550,KR7290550003,디케이티,ST
290560,KR7290560002,파라택시스이더리움,ST
290650,KR7290650001,엘앤씨바이오,ST
290660,KR7290660000,네오펙트,ST
290670,KR7290670009,대보마그네틱,ST
290690,KR7290690007,소룩스,ST
290720,KR7290720002,푸드나무,ST
290740,KR7290740000,액트로,ST
291230,KR7291230001,엔피,ST
291650,KR7291650000,압타머사이언스,ST
291810,KR7291810000,핀텔,ST
293490,KR7293490009,카카오게임즈,ST
293580,KR7293580007,나우IB,ST
293780,KR7293780003,압타바이오,ST
294090,KR7294090006,이오플로우,ST
294140,KR7294140009,레몬,ST
294570,KR7294570007,쿠콘,ST
294630,KR7294630009,서남,ST
295310,KR7295310007,에이치브이엠,ST
296640,KR7296640006,이노에이엑스,ST
297090,KR7297090003,씨에스베어링,ST
297570,KR7297570004,알로이스,ST
297890,KR7297890006,HB솔루션,ST
298060,KR7298060005,풍전약품,ST
298380,KR7298380007,에이비엘바이오,ST
298540,KR7298540006,더네이쳐홀딩스,ST
298830,KR7298830001,슈어소프트테크,ST
299030,KR7299030007,하나기술,ST
299170,KR7299170001,더블유에스아이,ST
299660,KR7299660001,셀리드,ST
299900,KR7299900001,위지윅스튜디오,ST
300080,KR7300080009,플리토,ST
300120,KR7300120003,라온피플,ST
301300,KR7301300000,바이브컴퍼니,ST
302430,KR7302430004,이노메트리,ST
302550,KR7302550009,리메드,ST
303030,KR7303030001,지니틱스,ST
303360,KR7303360002,프로티아,ST
303530,KR7303530000,이노뎁,ST
303810,KR7303810006,동국생명과학,ST
304100,KR7304100001,솔트룩스,ST
304360,KR7304360001,에스바이오메딕스,ST
304840,KR7304840002,피플바이오,ST
305090,KR7305090003,마이크로디지탈,ST
306040,KR7306040007,에스제이그룹,ST
306620,KR7306620006,지아이에스,ST
307180,KR7307180000,아이엘,ST
307280,KR7307280008,원바이오젠,ST
307750,KR7307750000,국전,ST
307870,KR7307870006,비투엔,ST
307930,KR7307930008,컴퍼니케이,ST
308080,KR7308080001,바이젠셀,ST
308100,KR7308100007,형지글로벌,ST
308430,KR7308430008,셀비온,ST
309710,KR7309710002,아이티켐,ST
309930,KR7309930006,조이웍스앤코,ST
309960,KR7309960003,LB인베스트먼트,ST
310200,KR7310200001,애니플러스,ST
310210,KR7310210000,보로노이,ST
310870,KR7310870001,디와이씨,ST
311320,KR7311320006,지오엘리먼트,ST
311390,KR7311390009,네오크레마,ST
311690,KR7311690002,CJ 바이오사이언스,ST
312610,KR7312610009,에이에프더블류,ST
313760,KR7313760001,캐리,ST
314130,KR7314130006,지놈앤컴퍼니,ST
314140,KR7314140005,알피바이오,ST
314930,KR7314930009,바이오다인,ST
315640,KR7315640003,딥노이드,ST
317120,KR7317120004,라닉스,ST
317240,KR7317240000,TS트릴리온,ST
317330,KR7317330009,덕산테코피아,ST
317530,KR7317530004,에피소드컴퍼니,ST
317690,KR7317690006,퀀타매트릭스,ST
317770,KR7317770006,엑스페릭스,ST
317830,KR7317830008,에스피시스템스,ST
317850,KR7317850006,대모,ST
317870,KR7317870004,엔바이오니아,ST
318000,KR7318000007,KBG,ST
318010,KR7318010006,팜스빌,ST
318020,KR7318020005,포인트모바일,ST
318060,KR7318060001,그래피,ST
318160,KR7318160009,셀바이오휴먼텍,ST
